schcd,school_name,distname,blkname,cluname,schmgt_desc,schmgtdet_desc,schcat_desc,school_medium,lowest_class,highest_class,school_close,Std_1,Std_2,Std_3,Std_4,Std_5,Std_6,Std_7,Std_8,Std_9,Std_10,Std_11,Std_12
27300211203,"MAHATMA PHULE PRATHMIK SHALA, SOUNDRE                                                                                                                                                                                                                     ",Solapur,Barshi,Soudare,Private (Education Dept.),Self-Financed,Primary,Marathi,1,5,N,34,37,33,39,28,0,0,0,0,0,0,0
27300211301,ZPPS SAWARGAON                                                                                                                                                                                                                                            ,Solapur,Barshi,Bhatambre,Local Body,Zilla Parishad (Primary),Primary,"English, Hindi, Marathi, Urdu",1,4,N,2,5,11,6,0,0,0,0,0,0,0,0
27300211302,"RAJMATA BRILLIANT ENGLISH MEDIUM SCHOOL, SAVRGAON (KA)                                                                                                                                                                                                    ",Solapur,Barshi,Bhatambre,Private (Education Dept.),Self-Financed,Primary,"English, Marathi, Urdu",1,5,N,36,28,27,19,13,0,0,0,0,0,0,0
27300211401,ZPPS SHELGAON --MA                                                                                                                                                                                                                                        ,Solapur,Barshi,Soudare,Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,5,8,14,13,11,7,15,0,0,0,0,0
27300211402,ZPPS KADAMWASTI                                                                                                                                                                                                                                           ,Solapur,Barshi,Soudare,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,4,6,4,8,0,0,0,0,0,0,0,0
27300211403,SHRI BABANRAO SHINDE MADHYAMIK VIDYALAYA SHELGAON--MA                                                                                                                                                                                                     ,Solapur,Barshi,Soudare,Private (Education Dept.),Private Partially aided,Upper Pr. and Secondary,Marathi,8,10,N,0,0,0,0,0,0,0,23,41,41,0,0
27300211501,ZPPS SHELGAON--R                                                                                                                                                                                                                                          ,Solapur,Barshi,Raleras,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,33,42,41,61,0,0,0,0,0,0,0,0
27300211502,SHELGAON HIGHSCHOOL SHELGAON-R                                                                                                                                                                                                                            ,Solapur,Barshi,Raleras,Private (Education Dept.),Private Aided,Up. Pr. Secondary and Higher Sec,Marathi,5,12,N,0,0,0,0,56,46,82,86,88,111,315,378
27300211503,"SHIRRAM PRIMARY ENGLISH MEDIUM SCHOOL ,SHELGAON (R)                                                                                                                                                                                                       ",Solapur,Barshi,Raleras,Private (Education Dept.),Self-Financed,Primary,Marathi,1,5,N,61,45,44,41,24,0,0,0,0,0,0,0
27300211601,ZPPS SHELGAON --V                                                                                                                                                                                                                                         ,Solapur,Barshi,Degaon,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,5,7,13,14,0,0,0,0,0,0,0,0
27300211701,ZPPS SHENDRI                                                                                                                                                                                                                                              ,Solapur,Barshi,Khandvi],Local Body,Zilla Parishad (Primary),Primary with Upper Primary,Marathi,1,7,N,26,34,36,29,20,20,26,0,0,0,0,0
27300211702,ADARSH HIGH SCHOOL SHENDRI                                                                                                                                                                                                                                ,Solapur,Barshi,Khandvi],Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,20,23,19,46,34,34,0,0
27300211801,ZPPS SHIRALE                                                                                                                                                                                                                                              ,Solapur,Barshi,Kusalamb,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,12,7,10,10,0,0,0,0,0,0,0,0
27300211802,YASHVANT VIDYALAY SHIRALE                                                                                                                                                                                                                                 ,Solapur,Barshi,Kusalamb,Private (Education Dept.),Private Aided,Upper Pr. and Secondary,Marathi,5,10,N,0,0,0,0,6,12,7,18,28,23,0,0
27300211901,ZPPS SHRIPAT PIMPRI                                                                                                                                                                                                                                       ,Solapur,Barshi,Khandvi],Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,36,28,40,50,0,0,0,0,0,0,0,0
27300211902,LOKSEVA VIDYALAY SHRIPAT PIMPRI                                                                                                                                                                                                                           ,Solapur,Barshi,Khandvi],Private (Education Dept.),Private Aided,Pr. Up Pr. and Secondary Only,Marathi,5,10,N,0,0,0,0,40,42,36,35,34,47,0,0
27300211903,"JIJAU PRIMARY AND UPPER PRI. ENGLISH MEDIUM , KHANDVI                                                                                                                                                                                                     ",Solapur,Barshi,Khandvi],Private (Education Dept.),Self-Financed,Pr. with Up.Pr. sec. and H.Sec.,"English, Marathi",1,12,N,28,9,8,10,10,17,21,23,13,24,44,40
27300212001,ZPPS SURDI                                                                                                                                                                                                                                                ,Solapur,Barshi,Korphale,Local Body,Zilla Parishad (Primary),Primary,Marathi,1,4,N,6,6,8,13,0,0,0,0,0,0,0,0
